video_id,segment_id,text,feature_sentiment,feature_questions,feature_fillers,feature_complexity,raw_engagement_score,is_drop_off
synthetic_good,0,This is a great example of engaging content?,0.8778407708626162,2,0.005927381133007143,3.693728926340845,10.0,0
synthetic_bad,0,Um basically the infrastructure is complex.,0.014689467794999439,0,0.06474607933390208,7.503180738592752,-10.0,1
synthetic_good,1,This is a great example of engaging content?,0.8231055474164168,2,0.006462223085900671,3.0912725053278254,10.0,0
synthetic_bad,1,Um basically the infrastructure is complex.,0.0010652085975909817,0,0.1176816676767886,7.257735531939543,-10.0,1
synthetic_good,2,This is a great example of engaging content?,0.8219876793289973,2,0.0037995767346529832,4.4189657888904845,10.0,0
synthetic_bad,2,Um basically the infrastructure is complex.,-0.01778916979093135,0,0.15681747253857228,7.09684672628536,-10.0,1
synthetic_good,3,This is a great example of engaging content?,0.6797419112990218,3,0.0038466085171460574,4.283399886978389,10.0,0
synthetic_bad,3,Um basically the infrastructure is complex.,-0.004872608633568962,0,0.0759158116971938,6.387780851469577,-10.0,1
synthetic_good,4,This is a great example of engaging content?,0.691421284446777,1,0.00960943763680492,4.486041547005767,10.0,0
synthetic_bad,4,Um basically the infrastructure is complex.,0.03862394722677524,0,0.17997435938080114,6.39317846783859,-10.0,1
synthetic_good,5,This is a great example of engaging content?,0.7449209181622661,1,0.00527755220665125,3.8891275787801822,10.0,0
synthetic_bad,5,Um basically the infrastructure is complex.,-0.023885848890008145,0,0.14412400370511697,7.7889734399453605,-10.0,1
synthetic_good,6,This is a great example of engaging content?,0.6349319025289204,1,0.005688103808757239,4.2819834000334005,10.0,0
synthetic_bad,6,Um basically the infrastructure is complex.,0.0018465425323081278,0,0.09843513909743119,6.269888753112272,-10.0,1
synthetic_good,7,This is a great example of engaging content?,0.7982831890693884,1,0.000987288238749645,4.0755934691659945,10.0,0
synthetic_bad,7,Um basically the infrastructure is complex.,0.001192775249316845,0,0.11572322214032787,7.2554869176100025,-10.0,1
synthetic_good,8,This is a great example of engaging content?,0.764534612159492,1,0.002217022794803878,4.046015224126638,10.0,0
synthetic_bad,8,Um basically the infrastructure is complex.,0.011504834946373818,0,0.09589265390433169,6.958745638049281,-10.0,1
synthetic_good,9,This is a great example of engaging content?,0.7563024925101218,1,0.009661994084159655,3.362022555767202,10.0,0
synthetic_bad,9,Um basically the infrastructure is complex.,-0.014805035923310263,0,0.051897619592324154,7.30246469263196,-10.0,1
synthetic_good,10,This is a great example of engaging content?,0.8931707779787916,2,0.008318289395192219,3.1778688132292183,10.0,0
synthetic_bad,10,Um basically the infrastructure is complex.,0.0009168442625439796,0,0.16251450171407475,7.02849575366559,-10.0,1
synthetic_good,11,This is a great example of engaging content?,0.7263622661714585,2,0.006241153025696308,3.19655060481425,10.0,0
synthetic_bad,11,Um basically the infrastructure is complex.,0.004269649994160539,0,0.11084778250548898,6.796246615856968,-10.0,1
synthetic_good,12,This is a great example of engaging content?,0.6358867352172144,1,0.0032639485048711002,3.2738046845644413,10.0,0
synthetic_bad,12,Um basically the infrastructure is complex.,-0.025075301126970664,0,0.1898185109531222,6.434730858232116,-10.0,1
synthetic_good,13,This is a great example of engaging content?,0.8782479331800765,1,0.0049994970585484156,4.281087646939627,10.0,0
